frame.number,_ws.col.Time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.ack,tcp.flags,tcp.seq
"1","0.000000","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64018","0x00000010","0"
"2","0.003853","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64058","0x00000010","0"
"3","0.006450","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64098","0x00000010","0"
"4","0.008567","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64138","0x00000010","0"
"5","0.010629","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64178","0x00000010","0"
"6","0.012769","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64218","0x00000010","0"
"7","0.014879","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64258","0x00000010","0"
"8","0.016934","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64298","0x00000010","0"
"9","0.019026","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64338","0x00000010","0"
"10","0.021579","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64378","0x00000010","0"
"11","0.023745","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64418","0x00000010","0"
"12","0.025882","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64458","0x00000010","0"
"13","0.027968","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64498","0x00000010","0"
"14","0.030027","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64538","0x00000010","0"
"15","0.032353","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64578","0x00000010","0"
"16","0.034425","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64618","0x00000010","0"
"17","0.036505","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64658","0x00000010","0"
"18","0.038592","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64698","0x00000010","0"
"19","0.040657","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64738","0x00000010","0"
"20","0.042826","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64778","0x00000010","0"
"21","0.044903","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64818","0x00000010","0"
"22","0.046988","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64858","0x00000010","0"
"23","0.049045","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64898","0x00000010","0"
"24","0.051359","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64938","0x00000010","0"
"25","0.053872","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","64978","0x00000010","0"
"26","0.056016","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65018","0x00000010","0"
"27","0.058092","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65058","0x00000010","0"
"28","0.060195","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65098","0x00000010","0"
"29","0.062782","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65138","0x00000010","0"
"30","0.064891","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65178","0x00000010","0"
"31","0.066943","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65218","0x00000010","0"
"32","0.069014","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65258","0x00000010","0"
"33","0.071054","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65298","0x00000010","0"
"34","0.073346","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65338","0x00000010","0"
"35","0.075423","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65378","0x00000010","0"
"36","0.080041","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65418","0x00000010","0"
"37","0.082724","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65458","0x00000010","0"
"38","0.084844","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","65498","0x00000010","0"
"39","0.300562","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64018"
"40","0.304311","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64058"
"41","0.311804","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64098"
"42","0.323835","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64138"
"43","0.335911","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64178"
"44","0.347928","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64218"
"45","0.359985","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64258"
"46","0.372124","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64298"
"47","0.384123","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64338"
"48","0.396161","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64378"
"49","0.408195","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64418"
"50","0.420249","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64458"
"51","0.432272","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64498"
"52","0.444327","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64538"
"53","0.456400","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64578"
"54","0.468412","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64618"
"55","0.480485","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64658"
"56","0.492532","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64698"
"57","0.504655","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64738"
"58","0.516630","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64778"
"59","0.528664","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64818"
"60","0.540742","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64858"
"61","0.552762","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64898"
"62","0.565120","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64938"
"63","0.576944","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","64978"
"64","0.588905","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65018"
"65","0.600975","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65058"
"66","0.612996","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65098"
"67","0.625043","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65138"
"68","0.637116","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65178"
"69","0.649146","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65218"
"70","0.661212","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65258"
"71","0.673236","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65298"
"72","0.685687","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65338"
"73","0.697425","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65378"
"74","0.709414","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65418"
"75","0.721520","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65458"
"76","0.733563","d6:b3:6f:2f:76:97","16:5b:6f:28:f3:f3","10.0.0.2","10.0.0.1","6","0","0x00000004","65498"
