frame.number,_ws.col.Time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.ack,tcp.flags,tcp.seq
"1","0.000000","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40012","0x00000010","0"
"2","0.013559","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40052","0x00000010","0"
"3","0.028427","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40092","0x00000010","0"
"4","0.041510","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40132","0x00000010","0"
"5","0.054585","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40172","0x00000010","0"
"6","0.068842","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40212","0x00000010","0"
"7","0.081942","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40252","0x00000010","0"
"8","0.095052","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40292","0x00000010","0"
"9","0.109189","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40332","0x00000010","0"
"10","0.122317","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40372","0x00000010","0"
"11","0.135446","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40412","0x00000010","0"
"12","0.149535","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40452","0x00000010","0"
"13","0.162649","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40492","0x00000010","0"
"14","0.175774","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40532","0x00000010","0"
"15","0.189921","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40572","0x00000010","0"
"16","0.202978","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40612","0x00000010","0"
"17","0.216042","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40652","0x00000010","0"
"18","0.230219","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40692","0x00000010","0"
"19","0.242968","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40732","0x00000010","0"
"20","0.255760","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40772","0x00000010","0"
"21","0.270011","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40812","0x00000010","0"
"22","0.282983","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40852","0x00000010","0"
"23","0.296029","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40892","0x00000010","0"
"24","0.310679","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40932","0x00000010","0"
"25","0.323684","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","40972","0x00000010","0"
"26","0.336704","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41012","0x00000010","0"
"27","0.351040","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41052","0x00000010","0"
"28","0.364079","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41092","0x00000010","0"
"29","0.377108","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41132","0x00000010","0"
"30","0.391365","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41172","0x00000010","0"
"31","0.404378","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41212","0x00000010","0"
"32","0.417361","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41252","0x00000010","0"
"33","0.431766","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41292","0x00000010","0"
"34","0.444717","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41332","0x00000010","0"
"35","0.457684","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41372","0x00000010","0"
"36","0.472200","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41412","0x00000010","0"
"37","0.485256","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41452","0x00000010","0"
"38","0.498245","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41492","0x00000010","0"
"39","0.512591","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41532","0x00000010","0"
"40","0.525619","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41572","0x00000010","0"
"41","0.538592","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41612","0x00000010","0"
"42","0.552983","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41652","0x00000010","0"
"43","0.565944","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41692","0x00000010","0"
"44","0.578896","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41732","0x00000010","0"
"45","0.593341","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41772","0x00000010","0"
"46","0.606295","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41812","0x00000010","0"
"47","0.619236","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41852","0x00000010","0"
"48","0.633688","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41892","0x00000010","0"
"49","0.646626","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41932","0x00000010","0"
"50","0.659572","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","41972","0x00000010","0"
"51","0.674042","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42012","0x00000010","0"
"52","0.687002","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42052","0x00000010","0"
"53","0.699965","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42092","0x00000010","0"
"54","0.714413","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42132","0x00000010","0"
"55","0.727585","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42172","0x00000010","0"
"56","0.740687","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42212","0x00000010","0"
"57","0.755211","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42252","0x00000010","0"
"58","0.768200","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42292","0x00000010","0"
"59","0.781004","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42332","0x00000010","0"
"60","0.795539","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42372","0x00000010","0"
"61","0.808656","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42412","0x00000010","0"
"62","0.821758","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42452","0x00000010","0"
"63","0.836063","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42492","0x00000010","0"
"64","0.849168","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42532","0x00000010","0"
"65","0.862252","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42572","0x00000010","0"
"66","0.876385","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42612","0x00000010","0"
"67","0.889502","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42652","0x00000010","0"
"68","0.902599","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","42692","0x00000010","0"
