frame.number,_ws.col.Time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.ack,tcp.flags,tcp.seq
"113","1.077802","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37331"
"114","1.080275","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39171","0x00000010","0"
"115","1.089854","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37371"
"116","1.093524","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39211","0x00000010","0"
"117","1.101894","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37411"
"118","1.109458","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39251","0x00000010","0"
"119","1.113943","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37451"
"120","1.122645","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39291","0x00000010","0"
"121","1.125996","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37491"
"122","1.135796","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39331","0x00000010","0"
"123","1.138042","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37531"
"124","1.150071","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39371","0x00000010","0"
"125","1.150092","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37571"
"126","1.162135","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37611"
"127","1.165159","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39411","0x00000010","0"
"128","1.174182","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37651"
"129","1.180305","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39451","0x00000010","0"
"130","1.186244","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37691"
"131","1.193445","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39491","0x00000010","0"
"132","1.198290","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37731"
"133","1.206634","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39531","0x00000010","0"
"134","1.210334","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37771"
"135","1.220790","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39571","0x00000010","0"
"136","1.233880","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39611","0x00000010","0"
"137","1.246608","56:58:06:5d:96:83","12:4f:1f:31:75:b8","10.0.0.2","10.0.0.1","6","0","0x00000004","37811"
"138","1.250357","12:4f:1f:31:75:b8","56:58:06:5d:96:83","10.0.0.1","10.0.0.2","6","39651","0x00000010","0"
