frame.number,_ws.col.Time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.ack,tcp.flags,tcp.seq
"1","0.000000","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60017","0x00000010","0"
"2","0.003394","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60057","0x00000010","0"
"3","0.006514","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60097","0x00000010","0"
"4","0.008654","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60137","0x00000010","0"
"5","0.010760","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60177","0x00000010","0"
"6","0.012851","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60217","0x00000010","0"
"7","0.015041","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60257","0x00000010","0"
"8","0.017143","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60297","0x00000010","0"
"9","0.019263","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60337","0x00000010","0"
"10","0.021349","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60377","0x00000010","0"
"11","0.023583","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60417","0x00000010","0"
"12","0.025713","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60457","0x00000010","0"
"13","0.027873","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60497","0x00000010","0"
"14","0.029960","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60537","0x00000010","0"
"15","0.032012","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60577","0x00000010","0"
"16","0.034107","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60617","0x00000010","0"
"17","0.036256","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60657","0x00000010","0"
"18","0.038312","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60697","0x00000010","0"
"19","0.040386","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60737","0x00000010","0"
"20","0.042722","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60777","0x00000010","0"
"21","0.044796","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60817","0x00000010","0"
"22","0.046926","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60857","0x00000010","0"
"23","0.048964","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60897","0x00000010","0"
"24","0.051141","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60937","0x00000010","0"
"25","0.053331","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","60977","0x00000010","0"
"26","0.055508","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61017","0x00000010","0"
"27","0.057616","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61057","0x00000010","0"
"28","0.059716","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61097","0x00000010","0"
"29","0.061928","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61137","0x00000010","0"
"30","0.063985","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61177","0x00000010","0"
"31","0.066044","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61217","0x00000010","0"
"32","0.068154","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61257","0x00000010","0"
"33","0.070228","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61297","0x00000010","0"
"34","0.072435","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61337","0x00000010","0"
"35","0.074764","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61377","0x00000010","0"
"36","0.076882","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61417","0x00000010","0"
"37","0.079068","16:5b:6f:28:f3:f3","d6:b3:6f:2f:76:97","10.0.0.1","10.0.0.2","6","61457","0x00000010","0"
